EnglishWord,TranslatedWord,Prompt,Response_Correct,Response_Incorrect
book,book,EnglishPrompt/book.mp3,EnglishResponse/Correct/book_correct.mp3,EnglishResponse/Incorrect/book_incorrect.mp3
house,house,EnglishPrompt/house.mp3,EnglishResponse/Correct/house_correct.mp3,EnglishResponse/Incorrect/house_incorrect.mp3
car,car,EnglishPrompt/car.mp3,EnglishResponse/Correct/car_correct.mp3,EnglishResponse/Incorrect/car_incorrect.mp3
tree,tree,EnglishPrompt/tree.mp3,EnglishResponse/Correct/tree_correct.mp3,EnglishResponse/Incorrect/tree_incorrect.mp3
sun,sun,EnglishPrompt/sun.mp3,EnglishResponse/Correct/sun_correct.mp3,EnglishResponse/Incorrect/sun_incorrect.mp3
moon,moon,EnglishPrompt/moon.mp3,EnglishResponse/Correct/moon_correct.mp3,EnglishResponse/Incorrect/moon_incorrect.mp3
water,water,EnglishPrompt/water.mp3,EnglishResponse/Correct/water_correct.mp3,EnglishResponse/Incorrect/water_incorrect.mp3
fire,fire,EnglishPrompt/fire.mp3,EnglishResponse/Correct/fire_correct.mp3,EnglishResponse/Incorrect/fire_incorrect.mp3
air,air,EnglishPrompt/air.mp3,EnglishResponse/Correct/air_correct.mp3,EnglishResponse/Incorrect/air_incorrect.mp3
earth,earth,EnglishPrompt/earth.mp3,EnglishResponse/Correct/earth_correct.mp3,EnglishResponse/Incorrect/earth_incorrect.mp3
school,school,EnglishPrompt/school.mp3,EnglishResponse/Correct/school_correct.mp3,EnglishResponse/Incorrect/school_incorrect.mp3
city,city,EnglishPrompt/city.mp3,EnglishResponse/Correct/city_correct.mp3,EnglishResponse/Incorrect/city_incorrect.mp3
cat,cat,EnglishPrompt/cat.mp3,EnglishResponse/Correct/cat_correct.mp3,EnglishResponse/Incorrect/cat_incorrect.mp3
dog,dog,EnglishPrompt/dog.mp3,EnglishResponse/Correct/dog_correct.mp3,EnglishResponse/Incorrect/dog_incorrect.mp3
apple,apple,EnglishPrompt/apple.mp3,EnglishResponse/Correct/apple_correct.mp3,EnglishResponse/Incorrect/apple_incorrect.mp3
banana,banana,EnglishPrompt/banana.mp3,EnglishResponse/Correct/banana_correct.mp3,EnglishResponse/Incorrect/banana_incorrect.mp3
bird,bird,EnglishPrompt/bird.mp3,EnglishResponse/Correct/bird_correct.mp3,EnglishResponse/Incorrect/bird_incorrect.mp3
bread,bread,EnglishPrompt/bread.mp3,EnglishResponse/Correct/bread_correct.mp3,EnglishResponse/Incorrect/bread_incorrect.mp3
butter,butter,EnglishPrompt/butter.mp3,EnglishResponse/Correct/butter_correct.mp3,EnglishResponse/Incorrect/butter_incorrect.mp3
chair,chair,EnglishPrompt/chair.mp3,EnglishResponse/Correct/chair_correct.mp3,EnglishResponse/Incorrect/chair_incorrect.mp3
door,door,EnglishPrompt/door.mp3,EnglishResponse/Correct/door_correct.mp3,EnglishResponse/Incorrect/door_incorrect.mp3
flower,flower,EnglishPrompt/flower.mp3,EnglishResponse/Correct/flower_correct.mp3,EnglishResponse/Incorrect/flower_incorrect.mp3
garden,garden,EnglishPrompt/garden.mp3,EnglishResponse/Correct/garden_correct.mp3,EnglishResponse/Incorrect/garden_incorrect.mp3
glass,glass,EnglishPrompt/glass.mp3,EnglishResponse/Correct/glass_correct.mp3,EnglishResponse/Incorrect/glass_incorrect.mp3
hat,hat,EnglishPrompt/hat.mp3,EnglishResponse/Correct/hat_correct.mp3,EnglishResponse/Incorrect/hat_incorrect.mp3
key,key,EnglishPrompt/key.mp3,EnglishResponse/Correct/key_correct.mp3,EnglishResponse/Incorrect/key_incorrect.mp3
lake,lake,EnglishPrompt/lake.mp3,EnglishResponse/Correct/lake_correct.mp3,EnglishResponse/Incorrect/lake_incorrect.mp3
milk,milk,EnglishPrompt/milk.mp3,EnglishResponse/Correct/milk_correct.mp3,EnglishResponse/Incorrect/milk_incorrect.mp3
mountain,mountain,EnglishPrompt/mountain.mp3,EnglishResponse/Correct/mountain_correct.mp3,EnglishResponse/Incorrect/mountain_incorrect.mp3
mouse,mouse,EnglishPrompt/mouse.mp3,EnglishResponse/Correct/mouse_correct.mp3,EnglishResponse/Incorrect/mouse_incorrect.mp3
night,night,EnglishPrompt/night.mp3,EnglishResponse/Correct/night_correct.mp3,EnglishResponse/Incorrect/night_incorrect.mp3
paper,paper,EnglishPrompt/paper.mp3,EnglishResponse/Correct/paper_correct.mp3,EnglishResponse/Incorrect/paper_incorrect.mp3
pen,pen,EnglishPrompt/pen.mp3,EnglishResponse/Correct/pen_correct.mp3,EnglishResponse/Incorrect/pen_incorrect.mp3
river,river,EnglishPrompt/river.mp3,EnglishResponse/Correct/river_correct.mp3,EnglishResponse/Incorrect/river_incorrect.mp3
road,road,EnglishPrompt/road.mp3,EnglishResponse/Correct/road_correct.mp3,EnglishResponse/Incorrect/road_incorrect.mp3
salt,salt,EnglishPrompt/salt.mp3,EnglishResponse/Correct/salt_correct.mp3,EnglishResponse/Incorrect/salt_incorrect.mp3
shoe,shoe,EnglishPrompt/shoe.mp3,EnglishResponse/Correct/shoe_correct.mp3,EnglishResponse/Incorrect/shoe_incorrect.mp3
sky,sky,EnglishPrompt/sky.mp3,EnglishResponse/Correct/sky_correct.mp3,EnglishResponse/Incorrect/sky_incorrect.mp3
snow,snow,EnglishPrompt/snow.mp3,EnglishResponse/Correct/snow_correct.mp3,EnglishResponse/Incorrect/snow_incorrect.mp3
star,star,EnglishPrompt/star.mp3,EnglishResponse/Correct/star_correct.mp3,EnglishResponse/Incorrect/star_incorrect.mp3
street,street,EnglishPrompt/street.mp3,EnglishResponse/Correct/street_correct.mp3,EnglishResponse/Incorrect/street_incorrect.mp3
table,table,EnglishPrompt/table.mp3,EnglishResponse/Correct/table_correct.mp3,EnglishResponse/Incorrect/table_incorrect.mp3
train,train,EnglishPrompt/train.mp3,EnglishResponse/Correct/train_correct.mp3,EnglishResponse/Incorrect/train_incorrect.mp3
window,window,EnglishPrompt/window.mp3,EnglishResponse/Correct/window_correct.mp3,EnglishResponse/Incorrect/window_incorrect.mp3
fish,fish,EnglishPrompt/fish.mp3,EnglishResponse/Correct/fish_correct.mp3,EnglishResponse/Incorrect/fish_incorrect.mp3
heart,heart,EnglishPrompt/heart.mp3,EnglishResponse/Correct/heart_correct.mp3,EnglishResponse/Incorrect/heart_incorrect.mp3
horse,horse,EnglishPrompt/horse.mp3,EnglishResponse/Correct/horse_correct.mp3,EnglishResponse/Incorrect/horse_incorrect.mp3
lamp,lamp,EnglishPrompt/lamp.mp3,EnglishResponse/Correct/lamp_correct.mp3,EnglishResponse/Incorrect/lamp_incorrect.mp3
money,money,EnglishPrompt/money.mp3,EnglishResponse/Correct/money_correct.mp3,EnglishResponse/Incorrect/money_incorrect.mp3
music,music,EnglishPrompt/music.mp3,EnglishResponse/Correct/music_correct.mp3,EnglishResponse/Incorrect/music_incorrect.mp3
picture,picture,EnglishPrompt/picture.mp3,EnglishResponse/Correct/picture_correct.mp3,EnglishResponse/Incorrect/picture_incorrect.mp3
rain,rain,EnglishPrompt/rain.mp3,EnglishResponse/Correct/rain_correct.mp3,EnglishResponse/Incorrect/rain_incorrect.mp3
sand,sand,EnglishPrompt/sand.mp3,EnglishResponse/Correct/sand_correct.mp3,EnglishResponse/Incorrect/sand_incorrect.mp3
sea,sea,EnglishPrompt/sea.mp3,EnglishResponse/Correct/sea_correct.mp3,EnglishResponse/Incorrect/sea_incorrect.mp3
song,song,EnglishPrompt/song.mp3,EnglishResponse/Correct/song_correct.mp3,EnglishResponse/Incorrect/song_incorrect.mp3
time,time,EnglishPrompt/time.mp3,EnglishResponse/Correct/time_correct.mp3,EnglishResponse/Incorrect/time_incorrect.mp3
village,village,EnglishPrompt/village.mp3,EnglishResponse/Correct/village_correct.mp3,EnglishResponse/Incorrect/village_incorrect.mp3
wine,wine,EnglishPrompt/wine.mp3,EnglishResponse/Correct/wine_correct.mp3,EnglishResponse/Incorrect/wine_incorrect.mp3
